month,year,v3,qu,cprice,tprice,incom,q1,q2,q3,q4,bprice,wprice,oprice
Jan 1990,1990,1,.55000001,12.12,18.6,1640.87,1,0,0,0,3.47,28.15,1
Feb 1990,1990,2,.64999998,12.12,18.6,1538.6,1,0,0,0,3.4000001,28.15,1
Mar 1990,1990,3,.66000003,12.12,18.6,1680.9301,1,0,0,0,3.26,28.33,1
Apr 1990,1990,4,.66000003,12.12,18.6,1656.2,0,1,0,0,3.46,28.49,1
May 1990,1990,5,.63999999,12.12,18.6,1700.8,0,1,0,0,3.47,28.549999,1
Jun 1990,1990,6,.64999998,12.12,18.6,1732.67,0,1,0,0,3.6800001,28.549999,1
Jul 1990,1990,7,.62,12.12,18.6,1650.27,0,0,1,0,3.6700001,28.84,1
Aug 1990,1990,8,.61000001,12.12,18.6,1677.8,0,0,1,0,3.6300001,28.84,1
Sep 1990,1990,9,.63,12.12,18.6,1677.27,0,0,1,0,3.3499999,28.860001,1
Oct 1990,1990,10,.63,12.12,18.6,1723.53,0,0,0,1,3.4200001,28.860001,1
Nov 1990,1990,11,.69999999,12.12,18.6,1719.73,0,0,0,1,3.3599999,28.860001,1
Dec 1990,1990,12,1.04,12.12,18.6,1807.73,0,0,0,1,3.3199999,28.860001,1
Jan 1991,1991,1,.74000001,12,18.60396,1759.079,1,0,0,0,3.247525,29.118811,1.01
Feb 1991,1991,2,.67000002,12,18.41584,1639.406,1,0,0,0,3.2376239,29.118811,1.01
Mar 1991,1991,3,.66000003,11.88235,18.235291,1759.412,1,0,0,0,3.156863,28.970591,1.02
Apr 1991,1991,4,.72000003,11.88235,18.235291,1720.98,0,1,0,0,3.460784,29.205879,1.02
May 1991,1991,5,.66000003,11.88235,18.235291,1774.441,0,1,0,0,3.4117651,29.225491,1.02
Jun 1991,1991,6,.67000002,11.88235,18.049021,1770.588,0,1,0,0,3.666667,29.2451,1.02
Jul 1991,1991,7,.61000001,11.76699,17.873791,1741.165,0,0,1,0,3.6407771,29.24272,1.03
Aug 1991,1991,8,.58999997,11.65385,17.884621,1715,0,0,1,0,3.4807689,28.96154,1.04
Sep 1991,1991,9,.66000003,11.54286,17.714291,1662.219,0,0,1,0,3.3428569,28.70476,1.05
Oct 1991,1991,10,.64999998,11.54286,17.714291,1757.524,0,0,0,1,3.27619,28.72381,1.05
Nov 1991,1991,11,.70999998,11.54286,17.714291,1738.3521,0,0,0,1,3.295238,28.72381,1.05
Dec 1991,1991,12,.76999998,11.54286,17.714291,1815.238,0,0,0,1,3.1238101,28.72381,1.05
Jan 1992,1992,1,.58999997,11.54286,17.714291,1822.41,1,0,0,0,3.0285709,29.257139,1.05
Feb 1992,1992,2,.70999998,11.43396,17.896231,1676.604,1,0,0,0,2.971698,28.981131,1.0599999
Mar 1992,1992,3,.74000001,11.43396,17.896231,1737.613,1,0,0,0,2.981132,29.14151,1.0599999
Apr 1992,1992,4,.81,11.43396,18.07547,1791.575,0,1,0,0,3.009434,29.49057,1.0599999
May 1992,1992,5,.63999999,11.43396,18.07547,1787.991,0,1,0,0,2.9056599,29.49057,1.0599999
Jun 1992,1992,6,.68000001,11.54717,18.07547,1775.094,0,1,0,0,2.9245279,29.49057,1.0599999
Jul 1992,1992,7,.63,11.3271,17.72897,1797.505,0,0,1,0,2.6635511,29.429911,1.0700001
Aug 1992,1992,8,.68000001,11.22222,17.398149,1703.519,0,0,1,0,2.425926,29.15741,1.08
Sep 1992,1992,9,.69,11.11111,17.56481,1741.296,0,0,1,0,2.2870369,29.24074,1.08
Oct 1992,1992,10,.69999999,11.22222,17.56481,1811.481,0,0,0,1,2.2870369,29.26852,1.08
Nov 1992,1992,11,.77999997,11.3271,17.560749,1738.131,0,0,0,1,2.2803741,29.542061,1.0700001
Dec 1992,1992,12,.81,11.43396,17.726419,1942.83,0,0,0,1,2.4528301,29.820749,1.0599999
Jan 1993,1993,1,.74000001,11.21495,17.560749,1757.505,1,0,0,0,2.485981,29.96262,1.0700001
Feb 1993,1993,2,.63,11.22222,17.398149,1659.509,1,0,0,0,2.6481481,29.68519,1.08
Mar 1993,1993,3,.75,11.00917,17.238529,1790.394,1,0,0,0,2.6880729,29.52294,1.09
Apr 1993,1993,4,.66000003,11.00917,17.238529,1821.899,0,1,0,0,2.6422019,29.779819,1.09
May 1993,1993,5,.68000001,11.00917,17.57798,1789.2939,0,1,0,0,2.559633,29.779819,1.09
Jun 1993,1993,6,.64999998,11.22222,17.74074,1848.028,0,1,0,0,2.6388891,30.08333,1.08
Jul 1993,1993,7,.63,11.11927,17.57798,1848.009,0,0,1,0,2.8715601,29.88991,1.09
Aug 1993,1993,8,.74000001,11.01818,17.58182,1735.209,0,0,1,0,2.6727271,29.618179,1.1
